"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Users","3","0","Get","0"
"0","API","0","Files","3","0","Get","0"
"0","API","0","Files","4","0","Negative","0"
"0","API","0","Courses","2","0","Get","0"
"0","API","0","Users","6","0","Create","0"
"0","API","0","Courses","1","0","Update","0"
"0","API","0","Files","1","0","Delete","0"
"0","API","0","Files","3","0","Create","0"
"0","API","0","Courses","2","0","Create","0"
"0","API","0","Exercises","3","0","Get","0"
"0","API","0","Exercises","2","0","Create","0"
"0","API","0","Authentication","2","0","Login","0"
"0","API","0","Exercises","2","0","Update","0"
"0","API","0","Exercises","1","0","Delete","0"
